Date,Year,Recipient,Amount_NAf,Notes
2008-08-22,2008,Mikve Israel Emanuel,345.00,FAES Movies at Hazzan's house
2008-10-16,2008,Mikve Israel Emanuel,15000.00,General Maintenance
2009,2009,Dividivi,8000.00,In Web Detail only; not in Register. Date unknown.
2009-01-08,2009,Instituto Buena Bista,6000.00,
2009-01-12,2009,Mikve Israel Emanuel,1000.00,
2009-01-29,2009,San Vicente de Paul,2000.00,
2009-02-24,2009,Mikve Israel Emanuel,8000.00,
2009-03-17,2009,Mikve Israel Emanuel,1000.00,
2009-08-13,2009,Dun'e un Chens,1000.00,Schoolboeken
2009-09-17,2009,Casa Manita,300.00,
2009-09-30,2009,Instituto Buena Bista,6000.00,
2009-10-08,2009,Mikve Israel Emanuel,419.60,
2009-10-29,2009,CITRO,1000.00,
2009-11-19,2009,Mikve Israel Emanuel,360.00,
2009-11-24,2009,Wilhelmina Fonds,10000.00,
2009-11-29,2009,Mikve Israel Emanuel,1000.00,
2010-01-18,2010,Mikve Israel Emanuel,290.00,
2010-04-26,2010,Mikve Israel Emanuel,4000.00,
2010-07-11,2010,Fundashon Mami Sa,5000.00,
2010-07-11,2010,Instituto Buena Bista,6000.00,
2010-07-11,2010,Mediaton (Orkán Thomas),5100.00,
2010-07-11,2010,Pro Bista,2500.00,
2010-11-23,2010,CITRO,5000.00,
2011-02-25,2011,Mikve Israel Emanuel,750.00,
2011-11-13,2011,Oudervereniging Totolika,1000.00,
2012-04-09,2012,LDTCC,750.00,
2012-04-14,2012,CITRO,2222.50,
2012-04-14,2012,Kinderoorden Brakkeput,5000.00,
2012-05-09,2012,Villa Maria,750.00,
2012-05-12,2012,CITRO,200.00,
2012-05-12,2012,FMA,500.00,
2012-05-12,2012,Fundashon Mami Sa,2000.00,
2012-05-12,2012,Mikve Israel Emanuel,2000.00,
2012-05-12,2012,Oudervereniging Totolika,2000.00,
2012-08-04,2012,Unknown,1000.00,
2012-08-20,2012,Ronald McDonald House,1000.00,
2012-08-25,2012,Pro Bista,1000.00,
2012-08-27,2012,Fundashon Mami Sa,800.00,
2012-12-20,2012,Monseigneur Verriet,500.00,
2013-01-19,2013,Ride for the Roses,100.00,
2013-06-04,2013,Mikve Israel Emanuel,500.00,
2014-01-29,2014,Ride for the Roses,1000.00,
2014-03-05,2014,Copernicia,200.00,
2014-03-24,2014,Seru Fortuna School,1000.00,
2014-05-09,2014,Fundashon Mami Sa,2000.00,
2014-05-09,2014,Mikve Israel Emanuel,5000.00,
2014-05-09,2014,Mikve Israel Emanuel,2000.00,
2014-05-09,2014,Wilhelmina Fonds,2000.00,
2015-09-21,2015,Wilhelmina Fonds,2000.00,
2015-10-13,2015,Mikve Israel Emanuel,2000.00,
2016-02-16,2016,Mikve Israel Emanuel,1000.00,
2016-03-16,2016,Villa Maria,500.00,
2016-04-07,2016,CITRO,2000.00,
2016-04-07,2016,Fundashon Mami Sa,2000.00,
2016-04-07,2016,Mikve Israel Emanuel,1000.00,
2016-04-07,2016,Pro Alfa,2000.00,
2016-04-07,2016,Ronald McDonald House,2000.00,
2016-07-11,2016,Children's Museum,2000.00,
2016-08-08,2016,Pro Bista,2000.00,
2016-09-27,2016,Hospice Arco Cavent,2000.00,
2016-10-14,2016,Wilhelmina Fonds,2000.00,
2016-11-25,2016,Mikve Israel Emanuel,5000.00,
2017-10-13,2017,Wilhelmina Fonds,1000.00,
2018-01-01,2018,CARF,1000.00,Date may be approximate
2018-01-01,2018,CITRO,2000.00,Date may be approximate
2018-01-01,2018,Fundashon Mami Sa,1000.00,
2018-01-01,2018,Hospice Arco Cavent,200.00,
2018-01-01,2018,Mikve Israel Emanuel,1000.00,
2018-01-01,2018,Mikve Israel Emanuel,1000.00,
2018-01-01,2018,Pro Alfa,2000.00,
2018-01-01,2018,Ronald McDonald House,2000.00,
2018-06-21,2018,Fundashon Bos di Hubentut,5000.00,
2018-10-04,2018,Winthrop Curiel,1000.00,"Register date ""04/10/2018"" — EU format"
2018-10-10,2018,Wilhelmina Fonds,1000.00,
2019-04-02,2019,Mikve Israel Emanuel,450.00,Piano Concert
2019-04-02,2019,Mikve Israel Emanuel,75.00,Piano Concert
2019-05-10,2019,Thuiszorg Banda Abao,5000.00,Kuido pa Grandi
2019-05-16,2019,CliniClowns,2500.00,
2019-05-16,2019,Ronald McDonald House,2500.00,
2020-01-29,2020,Mikve Israel Emanuel,10000.00,
2020-02-14,2020,Fundashon Mami Sa,2500.00,
2020-02-14,2020,Hospice Arco Cavent,5000.00,
2020-02-25,2020,CliniClowns,2500.00,
2020-03-02,2020,CITRO,5000.00,
2020-04-07,2020,Stichting Shimaruku,2500.00,
2020-04-07,2020,Voedselbank,2500.00,
2020-05-06,2020,Stichting Shimaruku,5000.00,
2020-05-15,2020,Instituto Buena Bista,1500.00,
2020-06-19,2020,Ronald McDonald House,5000.00,
2020-10-25,2020,Wilhelmina Fonds,1000.00,
2021-06-01,2021,Ronald McDonald House,2500.00,
2021-07-01,2021,Hospice Arco Cavent,5000.00,
2021-08-01,2021,Fundashon Bos di Hubentut,5000.00,
2021-09-01,2021,CliniClowns,2500.00,
2021-10-01,2021,Fundashon Alton Paas,2500.00,
2021-10-01,2021,Fundashon Mami Sa,2500.00,
2021-11-01,2021,Fundashon Lechi di Mama,2500.00,
2021-11-01,2021,Mucha pa Mucha,2500.00,
2021-12-01,2021,Stichting Shimaruku,5000.00,
2022-03-01,2022,CITRO,5000.00,
2022-03-01,2022,Instituto Buena Bista,5000.00,
2022-04-01,2022,Fund. Ambulans Deseo Korsou,5000.00,
2022-04-01,2022,Sokudi,2500.00,
2022-05-01,2022,Bethesda,2500.00,
2022-08-01,2022,CliniClowns,2500.00,
2022-08-01,2022,Mucha pa Mucha,2500.00,
2022-08-01,2022,Ronald McDonald House,2500.00,
2022-11-01,2022,Fundashon Bos di Hubentut,5000.00,
2022-11-01,2022,Hospice Arco Cavent,5000.00,
2022-11-01,2022,Stichting Alzheimer Curacao,1000.00,
2022-12-01,2022,Fund. Ambulans Deseo Korsou,5000.00,
2022-12-01,2022,Fundashon Alton Paas,5000.00,
2022-12-01,2022,Fundashon Lechi di Mama,2500.00,
2022-12-01,2022,Fundashon Mami Sa,2500.00,
2022-12-01,2022,Stichting Shimaruku,5000.00,
2023,2023,Bethesda,2500.00,Confirmed by Schedule and Web; not in PDF
2023,2023,Brigada di Seguridat,5000.00,"Listed as ""Youth in Development Found."" in PDF"
2023,2023,CITRO,5000.00,
2023,2023,CliniClowns,2500.00,
2023,2023,Fund. Ambulans Deseo Korsou,5000.00,
2023,2023,Fundashon Alton Paas,5000.00,
2023,2023,Fundashon Bos di Hubentut,5000.00,
2023,2023,Fundashon Lechi di Mama,2500.00,
2023,2023,Fundashon Negoshi Pikiña,5000.00,
2023,2023,Hospice Arco Cavent,5000.00,
2023,2023,Instituto Buena Bista,5000.00,
2023,2023,Mikve Israel Emanuel,10000.00,
2023,2023,Moving Innovation (Winklaar),5000.00,
2023,2023,Mucha pa Mucha,2500.00,
2023,2023,Ronald McDonald House,5000.00,
2023,2023,Stichting Alzheimer Curacao,5000.00,
2023,2023,Stichting Shimaruku,5000.00,
2024,2024,Brigada di Seguridat,5000.00,"Listed as ""Youth in Development Found."" in PDF"
2024,2024,CITRO,7500.00,
2024,2024,CliniClowns,5000.00,
2024,2024,Fund. Ambulans Deseo Korsou,7500.00,
2024,2024,Fundashon Alton Paas,10000.00,
2024,2024,Fundashon Bos di Hubentut,10000.00,
2024,2024,Fundashon Kura di Arte,5000.00,
2024,2024,Fundashon Lechi di Mama,2500.00,
2024,2024,Fundashon Negoshi Pikiña,7500.00,
2024,2024,Hospice Arco Cavent,10000.00,
2024,2024,Instituto Buena Bista,7500.00,
2024,2024,Mikve Israel Emanuel,10000.00,
2024,2024,Mucha pa Mucha,5000.00,
2024,2024,Oudervereniging Totolika,10000.00,"Includes Totolika Selebra Abilidat (2,500)"
2024,2024,Ronald McDonald House,5000.00,
2024,2024,Siloam St. Klein Jerusalem,7500.00,
2024,2024,Stichting Alzheimer Curacao,7500.00,
2024,2024,Stichting Shimaruku,5000.00,
2025,2025,Brigada di Seguridat,5000.00,"Listed as ""Youth in Development Found."" in PDF"
2025,2025,CITRO,7500.00,
2025,2025,CliniClowns,2500.00,
2025,2025,Fund. Ambulans Deseo Korsou,5000.00,
2025,2025,Fundashon Alton Paas,10000.00,
2025,2025,Fundashon Bos di Hubentut,5000.00,
2025,2025,Fundashon Kura di Arte,7500.00,
2025,2025,Fundashon Lechi di Mama,2500.00,In Schedule (marked ?) and Web; not in PDF
2025,2025,Fundashon Negoshi Pikiña,5000.00,
2025,2025,LDTCC,100.00,20 kids CineKids Curacao
2025,2025,Hospice Arco Cavent,7500.00,
2025,2025,Instituto Buena Bista,5000.00,
2025,2025,Mikve Israel Emanuel,11217.98,
2025,2025,Mucha pa Mucha,2500.00,
2025,2025,Oudervereniging Totolika,5000.00,
2025,2025,Ronald McDonald House,2500.00,
2025,2025,Siloam St. Klein Jerusalem,7500.00,
2025,2025,Stichting Alzheimer Curacao,7500.00,
2025,2025,Stichting Shimaruku,2500.00,
2026,2026,Stichting Alzheimer Curacao,7500.00,
2025,2025,CineKids,100.00,Bank payee: MISS GRETA A BREGIETA TRAPENBE; 20 kids CineKids Curacao
