Year,Recipient,Amount
2008,Mikve Israel Emanuel,"XCG 15,000."
2009,Casa Manita,XCG 300.
2009,Citro,"XCG 1,000."
2009,Dun'e un chens (schoolboeken),"XCG 1,000."
2009,Instituto Buena Bista,"XCG 6,000."
2009,Dividivi,"XCG 8,000."
2009,Instituto Buena Bista,"XCG 6,000."
2009,Mikve Israel Emanuel,"XCG 1,000."
2009,Mikve Israel Emanuel,"XCG 8,000."
2009,Mikve Israel Emanuel,"XCG 1,000."
2009,Mikve Israel Emanuel,XCG 419.6
2009,Mikve Israel Emanuel,XCG 360.
2009,Mikve Israel Emanuel,"XCG 1,000."
2009,San Vincente De Paul,"XCG 2,000."
2009,Wilhelmina Fonds,"XCG 10,000."
2010,Citro,"XCG 5,000."
2010,Fundashon Mami Sa,"XCG 5,000."
2010,Instituto Buena Bista,"XCG 6,000."
2010,Orkán Thomas,"XCG 5,100."
2010,Mikve Israel Emanuel,XCG 290.
2010,Mikve Israel Emanuel,"XCG 4,000."
2010,Pro Bista,"XCG 2,500."
2011,Mikve Israel Emanuel,XCG 750.
2011,Totolika,"XCG 1,000."
2012,Kinderoorden Brakkeput,"XCG 5,000."
2012,Citro,"XCG 2,222.5"
2012,Citro,XCG 200.
2012,FMA,XCG 500.
2012,Fundashon Mami Sa,"XCG 2,000."
2012,Fundashon Mami Sa,XCG 800.
2012,Greta Trappenberg,XCG 750.
2012,Mikve Israel Emanuel,"XCG 2,000."
2012,Pro Bista,"XCG 1,000."
2012,Ronald McDonald House,"XCG 1,000."
2012,Totolika,"XCG 2,000."
2012,Unknown,"XCG 1,000."
2012,Monseigneur Verriet,XCG 500.
2012,VillaMaria,XCG 750.
2013,Mikve Israel Emanuel,XCG 500.
2013,Ride for the Roses,XCG 100.
2014,Copernicia,XCG 200.
2014,Fundashon Mami Sa,"XCG 2,000."
2014,Mikve Israel Emanuel,"XCG 5,000."
2014,Mikve Israel Emanuel,"XCG 2,000."
2014,Ride for the Roses,"XCG 1,000."
2014,Seru Fortuna School,"XCG 1,000."
2014,Wilhelmina Fonds,"XCG 2,000."
2015,Mikve Israel Emanuel,"XCG 2,000."
2015,Wilhelmina Fonds,"XCG 2,000."
2016,Childrens Museum,"XCG 2,000."
2016,Citro,"XCG 2,000."
2016,Fundashon Mami Sa,"XCG 2,000."
2016,Hospice Arco Cavent,"XCG 2,000."
2016,Mikve Israel Emanuel,"XCG 1,000."
2016,Mikve Israel Emanuel,"XCG 1,000."
2016,Mikve Israel Emanuel,"XCG 5,000."
2016,Pro Alfa,"XCG 2,000."
2016,Pro Bista,"XCG 2,000."
2016,Ronald McDonald House,"XCG 2,000."
2016,VillaMaria,XCG 500.
2016,Wilhelmina Fonds,"XCG 2,000."
2017,Wilhelmina Fonds,"XCG 1,000."
2018,Bos di Hubentut,"XCG 5,000."
2018,CARF,"XCG 1,000."
2018,Citro,"XCG 2,000."
2018,Fundashon Mami Sa,"XCG 1,000."
2018,Hospice Arco Cavent,XCG 200.
2018,Mikve Israel Emanuel,"XCG 1,000."
2018,Mikve Israel Emanuel,"XCG 1,000."
2018,Pro Alfa,"XCG 2,000."
2018,Ronald McDonald House,"XCG 2,000."
2018,Wilhelmina Fonds,"XCG 1,000."
2018,Winthrop Curiel ,"XCG 1,000."
2019,Cliniclowns,"XCG 2,500."
2019,Ronald McDonald House,"XCG 2,500."
2019,Snoa Piano Concert,XCG 450.
2019,Snoa Piano Concert,XCG 75.
2019,Thuisz. Banda Abao,"XCG 5,000."
2021,Alton Paas,"XCG 2,500."
2021,Bos di Hubentut,"XCG 5,000."
2021,Cliniclowns,"XCG 2,500."
2021,Fundashon Mami Sa,"XCG 2,500."
2021,Hospice Arco Cavent,"XCG 5,000."
2021,Mucha Pa Mucha,"XCG 2,500."
2021,Ronald McDonald House,"XCG 2,500."
2021,Stichting Shimaruku,"XCG 5,000."
2022,Alton Paas,"XCG 5,000."
2022,Ambulans Deseo Korsou,"XCG 5,000."
2022,Bethesda,"XCG 2,500."
2022,Bos di Hubentut,"XCG 5,000."
2022,Citro,"XCG 5,000."
2022,Cliniclowns,"XCG 2,500."
2022,Ambulans Deseo Korsou,"XCG 5,000."
2022,Fundashon Mami Sa,"XCG 2,500."
2022,Hospice Arco Cavent,"XCG 5,000."
2022,Instituto Buena Bista,"XCG 5,000."
2022,Lechi di Mama,"XCG 2,500."
2022,Mucha Pa Mucha,"XCG 2,500."
2022,Ronald McDonald House,"XCG 2,500."
2022,Sokudi,"XCG 2,500."
2022,Stichting Alzheimer,"XCG 1,000."
2022,Stichting Shimaruku,"XCG 5,000."
2023,Bethesda,"XCG 2,500."
2023,Brigada di Seguridat,"XCG 5,000."
2023,Citro,"XCG 5,000."
2023,Cliniclowns,"XCG 2,500."
2023,Fundashon Negoshi Pikiña,"XCG 5,000."
2023,Instituto Buena Bista,"XCG 5,000."
2023,Mucha Pa Mucha,"XCG 2,500."
2023,Ronald McDonald House,"XCG 5,000."
2024,Alton Paas,"XCG 10,000."
2024,Ambulans Deseo Korsou,"XCG 7,500."
2024,Bos di Hubentut,"XCG 10,000."
2024,Brigada di Seguridat,"XCG 5,000."
2024,Citro,"XCG 5,000."
2024,Cliniclowns,"XCG 5,000."
2024,Hospice Arco Cavent,"XCG 10,000."
2024,Instituto Buena Bista,"XCG 7,500."
2024,Kura di Arte,"XCG 5,000."
2024,Lechi di Mama,"XCG 2,500."
2024,Mikve Israel Emanuel,"XCG 10,000."
2024,Mucha Pa Mucha,"XCG 5,000."
2024,Fundashon Negoshi Pikiña,"XCG 7,500."
2024,Ronald McDonald House,"XCG 5,000."
2024,Stichting Shimaruku,"XCG 5,000."
2024,Stichting Alzheimer,"XCG 7,500."
2025,Alton Paas,"XCG 7,500."
2025,Ambulans Deseo Korsou,"XCG 7,500."
2025,Bos di Hubentut,"XCG 5,000."
2025,Brigada di Seguridat,"XCG 5,000."
2025,Citro,"XCG 5,000."
2025,Cliniclowns,"XCG 2,500."
2025,Hospice Arco Cavent,"XCG 10,000."
2025,Instituto Buena Bista,"XCG 5,000."
2025,Kura di Arte,"XCG 2,500."
2025,Lechi di Mama,"XCG 2,500."
2025,Mikve Israel Emanuel,"XCG 10,000."
2025,Mucha Pa Mucha,"XCG 5,000."
2025,Fundashon Negoshi Pikiña,"XCG 7,500."
2025,Ronald McDonald House,"XCG 2,500."
2025,Stichting Shimaruku,"XCG 2,500."
2025,Siloam,"XCG 7,500."
2025,Stichting Alzheimer,"XCG 7,500."
2026,Stichting Alzheimer,"XCG 7,500."